La Tabla de Flandes;Arturo Pérez Reverte;Circulo Lectores;;;;;06/07/2007;
Crónicas del Campeón Eterno;Michael Moorcock;Martínez Roca;;;;;06/07/2007;
Los Amigos del crimen Perfecto;Andrés Trapiello;Circulo Lectores;;;;;06/07/2007;
Alta Fidelidad;Nick Hornby;Circulo Lectores;;;;;06/07/2007;
Don Quijote de la Mancha;Miguel de Cervantes Saavedra;Tredit;;;;;06/07/2007;
La Comunidad del Anillo I;J.R.R. Tolkien;Minotauro;;;;;06/07/2007;
Las dos Torres II;J.R.R. Tolkien;Minotauro;;;;;06/07/2007;
El retorno del Rey III;J.R.R. Tolkien;Minotauro;;;;;06/07/2007;
La Espada de Joram I    La Forja;Margaret Weis, Tracy Hickman;Circulo Lectores;;;;;16/07/2007;
La Espada de Joram II   La Profecía;Margaret Weis, Tracy Hickman;Circulo Lectores;;;;;16/07/2007;
La Espada de Joram III  El Triunfo;Margaret Weis, Tracy Hickman;Circulo Lectores;;;;;16/07/2007;
Cuando Fui Mortal;Javier Marías;Alfaguara;;;;;16/07/2007;
Qumrán;Éliette Abécassis;Circulo Lectores;;;;;16/07/2007;
La Princesa de Éboli;Almudena de Arteaga;Booket;;;;;16/07/2007;
El Rey en Bolas y otros Romances;Jaime Campany;Espasa Selección;;;;;16/07/2007;
Artemis Fowl;Eoin Colfer;Circulo Lectores;;;;;16/07/2007;
Me Llamo Rojo;Orhan Pamuk;Circulo Lectores;;;;;16/07/2007;
La Orden Negra;José Calvo Poyato;Circulo Lectores;;;;;18/07/2007;
Las Llaves de la Clase;Ruth Rendell;Grijalbo;;;;;03/09/2007;
El Niño con el Pijama  de Rayas;John Boyne;Salamandra;;;;;12/09/2007;
Un Burka por Amor;Reyes Monforte;T.H.;;;;;26/09/2007;
La Historia Secreta de los  Thyssen;David R.L. Litchfield;T.H.;;;;;10/10/2007;
Proyecto Lázaro;Luis Miguel Ariza;Plaza y Janes;;;;;15/01/2000;
El Iniciado;Luis Cooper I;Tomum Mas;;;;;15/10/2007;
El Proscrito;Luis Cooper II;Tomum Mas;;;;;15/10/2007;
El Orden y el Caos;Luis Cooper III;Tomum Mas;;;;;15/10/2007;
Dioses Tumbas y Sabios;C.V. Ceran;Circulo Lectores;;;;;22/10/2007;
Crímenes Imaginarios;Patricia Highsmth;Anagrama;;;;;22/10/2007;
Faraón;Francis Sévre;Planeta;;;;;22/10/2007;
Terror en la Luna;J.J. Benítez;Planeta;;;;;22/10/2007;
El Libro de las Vitaminas;Jossete Lyon;Martínez Roca;;;;;22/10/2007;
Guía de la Biodiversidad Marina;Varios Autores;Gobierno Vasco;;;;;22/10/2007;
Invierno en Madrid;C.J. San Som;Ediciones B;;;;;31/10/2007;
Mil Soles Esplendidos;Khaled Hosseini;Salamandra;;;;;19/11/2007;
La Bodega;Noah Gordón;Roca Editorial;;;;;19/11/2007;
Los Seres Imposible;Anton Castro;Editorial Destino;;;;;31/10/2007;
Mentiras Históricas;José Luis Vila San Juan;Planeta;;;;;31/10/2007;
El Secreto Egipcio de Napoleón;Javier Sierra;Debolsillo;;;;;19/11/2007;
La Cruzada del Sur;Juan Antonio Cebrian;Planeta;;;;;19/11/2007;
Que se Mueran los Feos;Juanjo de la Iglesia;Temas de Hoy;;;;;19/11/2007;
Un Naufrago en la Sopa;Álvaro de la iglesia;temas de Hoy;;;;;19/11/2007;
El Diamante de Jerusalén;Noah Gordons;Grupo Correo;;;;;02/12/2007;
Un Día de Cólera;Arturo Pérez Reverte;Alfaguara;;;;;12/12/2007;
El Jardín de la Oca;Toti Martínez de Leza;Maeva;;;;;17/12/2007;
Los Borgia. Historia de una Ambición;Juan Antonio Cebrian;Temas de Hoy;;;;;19/12/2007;
Un Mundo sin Fin;Ken Follet;Plaza y Janez;;;;;07/01/2008;
Nido Vacío;Alicia Jiménez;Planeta;;;;;09/01/2008;
Sus Ojos Miraban a Dios;Zora Neale Hurston;Circulo Lectores;;;;;21/01/2008;
La Reina de las Nieves;Carmen Martín Gaite;Circulo Lectores;;;;;21/01/2008;
