Los nombres de las Calles de Irún;José Monje garcía;Kulturtaldea;null;null;null;null;2007-10-4;
Boletín de Estudios del Bidasoa;Varios;Kulturtaldea;null;null;null;null;2007-10-4;
Constitución de la República Española;Varios;Kulturtaldea;null;null;null;null;2007-10-4;
Irún. Popular Fotográfico III;José María Arina Zapata;Jomi SA;null;null;null;null;2007-10-4;
Irún y sus Gentes 1890-2001;José María Arina Zapata;Jomi SA;null;null;null;null;2007-10-4;
Irún Imagines para el recuerdo 1900-2000;José María Arina Zapata;Jomi SA;null;null;null;null;2007-10-4;
El Agua en la Cocina del Futuro;Academia Española de Gastronomía;Grupo Zeta;null;null;null;null;2007-10-4;
National Gallery Paseos del Mundo;Centro Editor PDA SL;Espasa;null;null;null;null;2007-10-4;
Escucha mi Voz;Susanna Tamaro;Seix Barral;null;null;null;null;2007-10-4;
Los hijos de Húrin;J.R.R. Tolkien;Minotauro;null;null;null;null;1999-12-31;
En el Cielo con Diamantes;Senel Paz;Ediciones B;null;null;null;null;1999-12-31;
La Venganza;Fernando Schwarz;Planeta;null;null;null;null;1999-12-31;
Castillos de Cartón;Almudena Grandes;Circulo Lectores;null;null;null;null;1999-12-31;
La Niebla Herida;Joaquín M. Barrero;ediciones B;null;null;null;null;1999-12-31;
La Niebla y la Doncella;Lorenzo Silva;Destino;null;null;null;null;1999-12-31;
Lo mejor que le puede pasar a un Cruasan;Pablo Tusset;Circulo Lectores;null;null;null;null;1999-12-31;
La Rosa de Plata;Soledad Puertotas;Planeta Agostini;null;null;null;null;1999-12-31;
Como Agua para Chocolate;Laura Esquivel;Salvat;null;null;null;null;1999-12-31;
Adreilu Lapurra;Fernando Aramburu;S.M.;null;null;null;null;2007-2-7;
Las Luces de Septiembre;Carlos Ruiz Zafón;Planeta;null;null;null;null;2007-4-7;
Manual de Caza y Pesca para Chicas;Melissa Bank;Circulo Lectores;null;null;null;null;2007-6-7;
La Tabla de Flandes;Arturo Pérez Reverte;Circulo Lectores;null;null;null;null;2007-6-7;
Crónicas del Campeón Eterno;Michael Moorcock;Martínez Roca;null;null;null;null;2007-6-7;
Los Amigos del crimen Perfecto;Andrés Trapiello;Circulo Lectores;null;null;null;null;2007-6-7;
Alta Fidelidad;Nick Hornby;Circulo Lectores;null;null;null;null;2007-6-7;
Don Quijote de la Mancha;Miguel de Cervantes Saavedra;Tredit;null;null;null;null;2007-6-7;
La Comunidad del Anillo I;J.R.R. Tolkien;Minotauro;null;null;null;null;2007-6-7;
Las dos Torres II;J.R.R. Tolkien;Minotauro;null;null;null;null;2007-6-7;
El retorno del Rey III;J.R.R. Tolkien;Minotauro;null;null;null;null;2007-6-7;
La Espada de Joram I    La Forja;Margaret Weis, Tracy Hickman;Circulo Lectores;null;null;null;null;1999-12-31;
La Espada de Joram II   La Profecía;Margaret Weis, Tracy Hickman;Circulo Lectores;null;null;null;null;1999-12-31;
La Espada de Joram III  El Triunfo;Margaret Weis, Tracy Hickman;Circulo Lectores;null;null;null;null;1999-12-31;
Cuando Fui Mortal;Javier Marías;Alfaguara;null;null;null;null;1999-12-31;
Qumrán;Éliette Abécassis;Circulo Lectores;null;null;null;null;1999-12-31;
La Princesa de Éboli;Almudena de Arteaga;Booket;null;null;null;null;1999-12-31;
El Rey en Bolas y otros Romances;Jaime Campany;Espasa Selección;null;null;null;null;1999-12-31;
Artemis Fowl;Eoin Colfer;Circulo Lectores;null;null;null;null;1999-12-31;
Me Llamo Rojo;Orhan Pamuk;Circulo Lectores;null;null;null;null;1999-12-31;
La Orden Negra;José Calvo Poyato;Circulo Lectores;null;null;null;null;1999-12-31;
Las Llaves de la Clase;Ruth Rendell;Grijalbo;null;null;null;null;2007-3-9;
El Niño con el Pijama  de Rayas;John Boyne;Salamandra;null;null;null;null;2007-12-9;
Un Burka por Amor;Reyes Monforte;T.H.;null;null;null;null;1999-12-31;
La Historia Secreta de los  Thyssen;David R.L. Litchfield;T.H.;null;null;null;null;2007-10-10;
Proyecto Lázaro;Luis Miguel Ariza;Plaza y Janes;null;null;null;null;1999-12-31;
El Iniciado;Luis Cooper I;Tomum Mas;null;null;null;null;1999-12-31;
El Orden y el Caos;Luis Cooper III;Tomum Mas;null;null;null;null;1999-12-31;
El Proscrito;Luis Cooper II;Tomum Mas;null;null;null;null;1999-12-31;
Dioses Tumbas y Sabios;C.V. Ceran;Circulo Lectores;null;null;null;null;1999-12-31;
Crímenes Imaginarios;Patricia Highsmth;Anagrama;null;null;null;null;1999-12-31;
Faraón;Francis Sévre;Planeta;null;null;null;null;1999-12-31;
Terror en la Luna;J.J. Benítez;Planeta;null;null;null;null;1999-12-31;
El Libro de las Vitaminas;Jossete Lyon;Martínez Roca;null;null;null;null;1999-12-31;
Guía de la Biodiversidad Marina;Varios Autores;Gobierno Vasco;null;null;null;null;1999-12-31;
Invierno en Madrid;C.J. San Som;Ediciones B;null;null;null;null;1999-12-31;
Mil Soles Esplendidos;Khaled Hosseini;Salamandra;null;null;null;null;1999-12-31;
La Bodega;Noah Gordón;Roca Editorial;null;null;null;null;1999-12-31;
Los Seres Imposible;Anton Castro;Editorial Destino;null;null;null;null;1999-12-31;
Mentiras Históricas;José Luis Vila San Juan;Planeta;null;null;null;null;1999-12-31;
El Secreto Egipcio de Napoleón;Javier Sierra;Debolsillo;null;null;null;null;1999-12-31;
La Cruzada del Sur;Juan Antonio Cebrian;Planeta;null;null;null;null;1999-12-31;
Que se Mueran los Feos;Juanjo de la Iglesia;Temas de Hoy;null;null;null;null;1999-12-31;
Un Naufrago en la Sopa;Álvaro de la iglesia;temas de Hoy;null;null;null;null;1999-12-31;
El Diamante de Jerusalén;Noah Gordons;Grupo Correo;null;null;null;null;2007-2-12;
El Jardín de la Oca;Toti Martínez de Leza;Maeva;null;null;null;null;1999-12-31;
Un Día de Cólera;Arturo Pérez Reverte;Alfaguara;null;null;null;null;2007-12-12;
Los Borgia. Historia de una Ambición;Juan Antonio Cebrian;Temas de Hoy;null;null;null;null;1999-12-31;
Un Mundo sin Fin;Ken Follet;Plaza y Janez;null;null;null;null;2008-7-1;
Nido Vacío;Alicia Jiménez;Planeta;null;null;null;null;2008-9-1;
Sus Ojos Miraban a Dios;Zora Neale Hurston;Circulo Lectores;null;null;null;null;1999-12-31;
La Reina de las Nieves;Carmen Martín Gaite;Circulo Lectores;null;null;null;null;1999-12-31;
Nell;Mary Ann Evans;Circulo Lectores;null;null;null;null;1999-12-31;
Claro de Luna;Nora Roberts;Circulo Lectores;null;null;null;null;1999-12-31;
